category_id,goal_id,order
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,13,8
1,14,9
2,2,1
2,1,2
2,7,3
2,3,4
2,6,5
2,5,6
2,8,7
2,13,8
2,14,9
3,7,1
3,1,2
3,5,3
3,9,4
3,6,5
3,3,6
3,8,7
3,13,8
3,14,9
4,3,1
4,5,2
4,1,3
4,8,4
4,7,5
4,6,6
4,11,7
4,13,8
4,14,9
5,3,1
5,1,2
5,7,3
5,8,4
5,5,5
5,6,6
5,11,7
5,13,8
5,14,9
6,5,1
6,7,2
6,1,3
6,8,4
6,6,5
6,3,6
6,9,7
6,13,8
6,14,9
7,3,1
7,12,2
7,1,3
7,8,4
7,7,5
7,10,6
7,6,7
7,13,8
7,14,9
8,1,1
8,12,2
8,7,3
8,8,4
8,3,5
8,10,6
8,6,7
8,13,8
8,14,9
9,7,1
9,12,2
9,1,3
9,8,4
9,3,5
9,10,6
9,6,7
9,13,8
9,14,9
